video_id,url,channel,category,tags,title,notes
8nZy1cZFoZM&t=3s,https://www.youtube.com/watch?v=8nZy1cZFoZM&t=3s,Tübingen Machine Learning,slam,"odometry, localization","Self-Driving Cars - Lecture 7.2 (Odometry, SLAM and Localization: SLAM)",
FvhcHTfwHTQ,https://www.youtube.com/watch?v=FvhcHTfwHTQ,Tübingen Machine Learning,localization,,"Self-Driving Cars - Lecture 7.3 (Odometry, SLAM and Localization: Localization)",
4sWke_MN-K0&t=1s,https://www.youtube.com/watch?v=4sWke_MN-K0&t=1s,Tübingen Machine Learning,road_and_lane_detection,,Self-Driving Cars - Lecture 8.1 (Road and Lane Detection: Introduction),
FiU-Hro5HrE,https://www.youtube.com/watch?v=FiU-Hro5HrE,Tübingen Machine Learning,road_and_lane_detection,road_segmentation,Self-Driving Cars - Lecture 8.2 (Road and Lane Detection: Road Segmentation),
DPRFZODRf9E,https://www.youtube.com/watch?v=DPRFZODRf9E,Tübingen Machine Learning,road_and_lane_detection,lane_marking_detection,Self-Driving Cars - Lecture 8.3 (Road and Lane Detection: Lane Marking Detection),
GgXQFYc2nPw,https://www.youtube.com/watch?v=GgXQFYc2nPw,Tübingen Machine Learning,road_and_lane_detection,lane_detection,Self-Driving Cars - Lecture 8.4 (Road and Lane Detection: Lane Detection),
9AgxecRWG4A,https://www.youtube.com/watch?v=9AgxecRWG4A,Tübingen Machine Learning,road_and_lane_detection,lane_tracking,Self-Driving Cars - Lecture 8.5 (Road and Lane Detection: Lane Tracking),
SOERX7QUlJ8,https://www.youtube.com/watch?v=SOERX7QUlJ8,Tübingen Machine Learning,reconstruction_and_motion,stereo_matching,Self-Driving Cars - Lecture 9.1 (Reconstruction and Motion: Stereo Matching),
OUHW52a-MT0,https://www.youtube.com/watch?v=OUHW52a-MT0,Tübingen Machine Learning,reconstruction_and_motion,freespace_and-stixels,Self-Driving Cars - Lecture 9.2 (Reconstruction and Motion: Freespace and Stixels),
CrazEFoJdj8,https://www.youtube.com/watch?v=CrazEFoJdj8,Tübingen Machine Learning,reconstruction_and_motion,optical_flow,Self-Driving Cars - Lecture 9.3 (Reconstruction and Motion: Optical Flow),
F8Fk6XAMiW8&t=1s,https://www.youtube.com/watch?v=F8Fk6XAMiW8&t=1s,Tübingen Machine Learning,reconstruction_and_motion,scene_flow,Self-Driving Cars - Lecture 9.4 (Reconstruction and Motion: Scene Flow),
uxLmWOQ1Zpg,https://www.youtube.com/watch?v=uxLmWOQ1Zpg,Tübingen Machine Learning,object_detection,,Self-Driving Cars - Lecture 10.1 (Object Detection: Introduction),
YiboaN03BwM,https://www.youtube.com/watch?v=YiboaN03BwM,Tübingen Machine Learning,object_detection,performance_evaluation,Self-Driving Cars - Lecture 10.2 (Object Detection: Performance Evaluation),
7I1XypMPCcw&t=1s,https://www.youtube.com/watch?v=7I1XypMPCcw&t=1s,Tübingen Machine Learning,object_detection,sliding_window_object_detection,Self-Driving Cars - Lecture 10.3 (Object Detection: Sliding Window Object Detection),
84HCwf8CCbE&t=2s,https://www.youtube.com/watch?v=84HCwf8CCbE&t=2s,Tübingen Machine Learning,object_detection,"cnn,r_cnn",Self-Driving Cars - Lecture 10.4 (Object Detection: Region Based CNNs),
JEVtVrNFb30&t=1s,https://www.youtube.com/watch?v=JEVtVrNFb30&t=1s,Tübingen Machine Learning,object_detection,3d_object_detection,Self-Driving Cars - Lecture 10.5 (Object Detection: 3D Object Detection),
OG7f3cG01EE,https://www.youtube.com/watch?v=OG7f3cG01EE,Tübingen Machine Learning,object_tracking,,Self-Driving Cars - Lecture 11.1 (Object Tracking: Introduction),
